Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~5V-REG.PrjPCB|ReportField=ProjectFullPath~C:\Users\USER\Documents\wplanchez\Portafolio\Proyectos\Electronica\Altium\5V REG\5V-REG.PrjPCB|ReportField=Title~Bill of Materials For Project [5V-REG.PrjPCB] (PCB Document : 5V REG.PcbDoc)|ReportField=ReportTime~11:30:59|ReportField=ReportDate~7/8/2025|ReportField=ReportDateTime~7/8/2025 11:30:59|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~8|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~7/8/2025|ReportField=CurrentTime~10:49:14|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\USER\Documents\wplanchez\Portafolio\Proyectos\Electronica\Altium\5V REG\5V-REG.SchDoc|ReportField=DocumentName~5V-REG.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~6/8/2025|ReportField=Organization~|ReportField=ProjectName~5V-REG.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~5V Regulator|ReportField=DataSourceFileName~5V-REG.PrjPCB|ReportField=DataSourceFullPath~C:\Users\USER\Documents\wplanchez\Portafolio\Proyectos\Electronica\Altium\5V REG\5V-REG.PrjPCB|ReportField=PCBDataSourceFileName~5V REG.PcbDoc|ReportField=PCBDataSourceFullPath~C:\Users\USER\Documents\wplanchez\Portafolio\Proyectos\Electronica\Altium\5V REG\5V REG.PcbDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|0.1uF|Capacitor|C2, C4|RDER71E104K0P1H03B|RDER71E104K0P1H03B|2
2|0.22uF|Capacitor Polarised|C1|CAPPRD200W52D500H1250|860010772002|1
3|10uF|Capacitor Polarised|C3|CAPPRD200W55D500H1250|EEU-FR1H100|1
4|1546215-2|Connector|J1, J2|15462152|1546215-2|2
5|L7805CV|Integrated Circuit|IC1|TO255P460X1020X2008-3P|L7805CV|1
6|SD103A-TR|Schottky Diode|D1|DIOAD950W60L350D150|SD103A-TR|1
